,Year,StateCode,MSN,Data,Unit
33192,1960,NM,GETCB,0.0,Billion Btu
33193,1961,NM,GETCB,0.0,Billion Btu
33194,1962,NM,GETCB,0.0,Billion Btu
33195,1963,NM,GETCB,0.0,Billion Btu
33196,1964,NM,GETCB,0.0,Billion Btu
33197,1965,NM,GETCB,0.0,Billion Btu
33198,1966,NM,GETCB,0.0,Billion Btu
33199,1967,NM,GETCB,0.0,Billion Btu
33200,1968,NM,GETCB,0.0,Billion Btu
33201,1969,NM,GETCB,0.0,Billion Btu
33202,1970,NM,GETCB,0.0,Billion Btu
33203,1971,NM,GETCB,0.0,Billion Btu
33204,1972,NM,GETCB,0.0,Billion Btu
33205,1973,NM,GETCB,0.0,Billion Btu
33206,1974,NM,GETCB,0.0,Billion Btu
33207,1975,NM,GETCB,0.0,Billion Btu
33208,1976,NM,GETCB,0.0,Billion Btu
33209,1977,NM,GETCB,0.0,Billion Btu
33210,1978,NM,GETCB,0.0,Billion Btu
33211,1979,NM,GETCB,0.0,Billion Btu
33212,1980,NM,GETCB,0.0,Billion Btu
33213,1981,NM,GETCB,0.0,Billion Btu
33214,1982,NM,GETCB,0.0,Billion Btu
33215,1983,NM,GETCB,0.0,Billion Btu
33216,1984,NM,GETCB,0.0,Billion Btu
33217,1985,NM,GETCB,0.0,Billion Btu
33218,1986,NM,GETCB,0.0,Billion Btu
33219,1987,NM,GETCB,0.0,Billion Btu
33220,1988,NM,GETCB,0.0,Billion Btu
33221,1989,NM,GETCB,114.5,Billion Btu
33222,1990,NM,GETCB,117.28053,Billion Btu
33223,1991,NM,GETCB,120.93937,Billion Btu
33224,1992,NM,GETCB,124.91641,Billion Btu
33225,1993,NM,GETCB,127.89877,Billion Btu
33226,1994,NM,GETCB,144.5,Billion Btu
33227,1995,NM,GETCB,158.53529,Billion Btu
33228,1996,NM,GETCB,160.61467,Billion Btu
33229,1997,NM,GETCB,175.59761,Billion Btu
33230,1998,NM,GETCB,184.5,Billion Btu
33231,1999,NM,GETCB,643.6,Billion Btu
33232,2000,NM,GETCB,687.9,Billion Btu
33233,2001,NM,GETCB,737.9,Billion Btu
33234,2002,NM,GETCB,747.9,Billion Btu
33235,2003,NM,GETCB,562.58201,Billion Btu
33236,2004,NM,GETCB,617.87045,Billion Btu
33237,2005,NM,GETCB,690.1241,Billion Btu
33238,2006,NM,GETCB,697.27622,Billion Btu
33239,2007,NM,GETCB,732.44233,Billion Btu
33240,2008,NM,GETCB,348.42218,Billion Btu
33241,2009,NM,GETCB,317.06702,Billion Btu
33242,1960,TX,GETCB,0.0,Billion Btu
33243,1961,TX,GETCB,0.0,Billion Btu
33244,1962,TX,GETCB,0.0,Billion Btu
33245,1963,TX,GETCB,0.0,Billion Btu
33246,1964,TX,GETCB,0.0,Billion Btu
33247,1965,TX,GETCB,0.0,Billion Btu
33248,1966,TX,GETCB,0.0,Billion Btu
33249,1967,TX,GETCB,0.0,Billion Btu
33250,1968,TX,GETCB,0.0,Billion Btu
33251,1969,TX,GETCB,0.0,Billion Btu
33252,1970,TX,GETCB,0.0,Billion Btu
33253,1971,TX,GETCB,0.0,Billion Btu
33254,1972,TX,GETCB,0.0,Billion Btu
33255,1973,TX,GETCB,0.0,Billion Btu
33256,1974,TX,GETCB,0.0,Billion Btu
33257,1975,TX,GETCB,0.0,Billion Btu
33258,1976,TX,GETCB,0.0,Billion Btu
33259,1977,TX,GETCB,0.0,Billion Btu
33260,1978,TX,GETCB,0.0,Billion Btu
33261,1979,TX,GETCB,0.0,Billion Btu
33262,1980,TX,GETCB,0.0,Billion Btu
33263,1981,TX,GETCB,0.0,Billion Btu
33264,1982,TX,GETCB,0.0,Billion Btu
33265,1983,TX,GETCB,0.0,Billion Btu
33266,1984,TX,GETCB,0.0,Billion Btu
33267,1985,TX,GETCB,0.0,Billion Btu
33268,1986,TX,GETCB,0.0,Billion Btu
33269,1987,TX,GETCB,0.0,Billion Btu
33270,1988,TX,GETCB,0.0,Billion Btu
33271,1989,TX,GETCB,197.6,Billion Btu
33272,1990,TX,GETCB,236.37632,Billion Btu
33273,1991,TX,GETCB,271.52227,Billion Btu
33274,1992,TX,GETCB,306.81413,Billion Btu
33275,1993,TX,GETCB,338.98899,Billion Btu
33276,1994,TX,GETCB,340.742,Billion Btu
33277,1995,TX,GETCB,370.3163,Billion Btu
33278,1996,TX,GETCB,417.17348,Billion Btu
33279,1997,TX,GETCB,450.86459,Billion Btu
33280,1998,TX,GETCB,516.269,Billion Btu
33281,1999,TX,GETCB,562.0,Billion Btu
33282,2000,TX,GETCB,562.0,Billion Btu
33283,2001,TX,GETCB,639.0,Billion Btu
33284,2002,TX,GETCB,694.0,Billion Btu
33285,2003,TX,GETCB,913.95843,Billion Btu
33286,2004,TX,GETCB,1006.60506,Billion Btu
33287,2005,TX,GETCB,1161.03664,Billion Btu
33288,2006,TX,GETCB,1296.15311,Billion Btu
33289,2007,TX,GETCB,1485.5838,Billion Btu
33290,2008,TX,GETCB,1698.70833,Billion Btu
33291,2009,TX,GETCB,2057.02446,Billion Btu
34212,1960,AZ,HYEGB,32168.50488,Billion Btu
34213,1961,AZ,HYEGB,31245.74745,Billion Btu
34214,1962,AZ,HYEGB,30861.24516,Billion Btu
34215,1963,AZ,HYEGB,30833.67301,Billion Btu
34216,1964,AZ,HYEGB,30181.71918,Billion Btu
34217,1965,AZ,HYEGB,46399.81125,Billion Btu
34218,1966,AZ,HYEGB,54380.45399,Billion Btu
34219,1967,AZ,HYEGB,52242.53798,Billion Btu
34220,1968,AZ,HYEGB,59219.32388,Billion Btu
34221,1969,AZ,HYEGB,63339.75357,Billion Btu
34222,1970,AZ,HYEGB,64439.24652,Billion Btu
34223,1971,AZ,HYEGB,69514.41544,Billion Btu
34224,1972,AZ,HYEGB,70272.61787,Billion Btu
34225,1973,AZ,HYEGB,74663.51975,Billion Btu
34226,1974,AZ,HYEGB,77205.95518,Billion Btu
34227,1975,AZ,HYEGB,75334.5908,Billion Btu
34228,1976,AZ,HYEGB,78444.7752,Billion Btu
34229,1977,AZ,HYEGB,68811.84399,Billion Btu
34230,1978,AZ,HYEGB,72628.46527,Billion Btu
34231,1979,AZ,HYEGB,74958.62919,Billion Btu
34232,1980,AZ,HYEGB,102013.5153,Billion Btu
34233,1981,AZ,HYEGB,70955.27759,Billion Btu
34234,1982,AZ,HYEGB,73174.69654,Billion Btu
34235,1983,AZ,HYEGB,152195.4174,Billion Btu
34236,1984,AZ,HYEGB,163533.3084,Billion Btu
34237,1985,AZ,HYEGB,145963.8229,Billion Btu
34238,1986,AZ,HYEGB,150901.464,Billion Btu
34239,1987,AZ,HYEGB,105433.9557,Billion Btu
34240,1988,AZ,HYEGB,80227.75238,Billion Btu
34241,1989,AZ,HYEGB,82170.81933,Billion Btu
34242,1990,AZ,HYEGB,77157.62555,Billion Btu
34243,1991,AZ,HYEGB,70292.09544,Billion Btu
34244,1992,AZ,HYEGB,68471.86889,Billion Btu
34245,1993,AZ,HYEGB,69040.28019,Billion Btu
34246,1994,AZ,HYEGB,75981.7243,Billion Btu
34247,1995,AZ,HYEGB,85470.17673,Billion Btu
34248,1996,AZ,HYEGB,95276.44104,Billion Btu
34249,1997,AZ,HYEGB,123060.4507,Billion Btu
34250,1998,AZ,HYEGB,111863.0172,Billion Btu
34251,1999,AZ,HYEGB,99793.66264,Billion Btu
34252,2000,AZ,HYEGB,85221.35742,Billion Btu
34253,2001,AZ,HYEGB,78774.29715,Billion Btu
34254,2002,AZ,HYEGB,75556.70214,Billion Btu
34255,2003,AZ,HYEGB,72454.91114,Billion Btu
34256,2004,AZ,HYEGB,69884.87923,Billion Btu
34257,2005,AZ,HYEGB,64094.23194,Billion Btu
34258,2006,AZ,HYEGB,67378.81478,Billion Btu
34259,2007,AZ,HYEGB,65211.38016,Billion Btu
34260,2008,AZ,HYEGB,71795.27831,Billion Btu
34261,2009,AZ,HYEGB,62730.8872,Billion Btu
34262,1960,CA,HYEGB,187703.853,Billion Btu
34263,1961,CA,HYEGB,163669.445,Billion Btu
34264,1962,CA,HYEGB,241080.9602,Billion Btu
34265,1963,CA,HYEGB,265549.9503,Billion Btu
34266,1964,CA,HYEGB,231187.6753,Billion Btu
34267,1965,CA,HYEGB,319051.8179,Billion Btu
34268,1966,CA,HYEGB,273246.5965,Billion Btu
34269,1967,CA,HYEGB,368007.4733,Billion Btu
34270,1968,CA,HYEGB,282560.503,Billion Btu
34271,1969,CA,HYEGB,422243.4716,Billion Btu
34272,1970,CA,HYEGB,399627.9851,Billion Btu
34273,1971,CA,HYEGB,408829.5457,Billion Btu
34274,1972,CA,HYEGB,329587.0651,Billion Btu
34275,1973,CA,HYEGB,402618.3604,Billion Btu
34276,1974,CA,HYEGB,484739.6517,Billion Btu
34277,1975,CA,HYEGB,417308.8107,Billion Btu
34278,1976,CA,HYEGB,240578.4684,Billion Btu
34279,1977,CA,HYEGB,148706.8893,Billion Btu
34280,1978,CA,HYEGB,385488.6825,Billion Btu
34281,1979,CA,HYEGB,351169.7637,Billion Btu
34282,1980,CA,HYEGB,423618.4329,Billion Btu
34283,1981,CA,HYEGB,311123.9805,Billion Btu
34284,1982,CA,HYEGB,525064.7575,Billion Btu
34285,1983,CA,HYEGB,598434.671,Billion Btu
34286,1984,CA,HYEGB,450580.1375,Billion Btu
34287,1985,CA,HYEGB,331348.1572,Billion Btu
34288,1986,CA,HYEGB,433077.1206,Billion Btu
34289,1987,CA,HYEGB,255937.463,Billion Btu
34290,1988,CA,HYEGB,242346.9181,Billion Btu
34291,1989,CA,HYEGB,321317.5759,Billion Btu
34292,1990,CA,HYEGB,247413.0471,Billion Btu
34293,1991,CA,HYEGB,229066.4326,Billion Btu
34294,1992,CA,HYEGB,208494.5649,Billion Btu
34295,1993,CA,HYEGB,417318.0414,Billion Btu
34296,1994,CA,HYEGB,237357.285,Billion Btu
34297,1995,CA,HYEGB,495276.7701,Billion Btu
34298,1996,CA,HYEGB,462610.1421,Billion Btu
34299,1997,CA,HYEGB,419235.7962,Billion Btu
34300,1998,CA,HYEGB,505123.9862,Billion Btu
34301,1999,CA,HYEGB,416465.1395,Billion Btu
34302,2000,CA,HYEGB,390961.0574,Billion Btu
34303,2001,CA,HYEGB,263923.1714,Billion Btu
34304,2002,CA,HYEGB,316793.6086,Billion Btu
34305,2003,CA,HYEGB,372463.0092,Billion Btu
34306,2004,CA,HYEGB,342160.3591,Billion Btu
34307,2005,CA,HYEGB,396224.7832,Billion Btu
34308,2006,CA,HYEGB,476508.621,Billion Btu
34309,2007,CA,HYEGB,269975.1652,Billion Btu
34310,2008,CA,HYEGB,237755.436,Billion Btu
34311,2009,CA,HYEGB,272184.017,Billion Btu
34312,1960,NM,HYEGB,745.4528,Billion Btu
34313,1961,NM,HYEGB,553.3314,Billion Btu
34314,1962,NM,HYEGB,672.22786,Billion Btu
34315,1963,NM,HYEGB,456.59592,Billion Btu
34316,1964,NM,HYEGB,98.72989,Billion Btu
34317,1965,NM,HYEGB,447.98422,Billion Btu
34318,1966,NM,HYEGB,705.83497,Billion Btu
34319,1967,NM,HYEGB,366.53875,Billion Btu
34320,1968,NM,HYEGB,446.50052,Billion Btu
34321,1969,NM,HYEGB,667.5633,Billion Btu
34322,1970,NM,HYEGB,690.03297,Billion Btu
34323,1971,NM,HYEGB,285.4312,Billion Btu
34324,1972,NM,HYEGB,209.68694,Billion Btu
34325,1973,NM,HYEGB,674.8175,Billion Btu
34326,1974,NM,HYEGB,765.77451,Billion Btu
34327,1975,NM,HYEGB,659.5635,Billion Btu
34328,1976,NM,HYEGB,790.47447,Billion Btu
34329,1977,NM,HYEGB,291.42868,Billion Btu
34330,1978,NM,HYEGB,311.77285,Billion Btu
34331,1979,NM,HYEGB,702.06799,Billion Btu
34332,1980,NM,HYEGB,977.49002,Billion Btu
34333,1981,NM,HYEGB,919.63403,Billion Btu
34334,1982,NM,HYEGB,821.0258,Billion Btu
34335,1983,NM,HYEGB,933.46064,Billion Btu
34336,1984,NM,HYEGB,979.20936,Billion Btu
34337,1985,NM,HYEGB,1336.18175,Billion Btu
34338,1986,NM,HYEGB,1737.58764,Billion Btu
34339,1987,NM,HYEGB,1710.59142,Billion Btu
34340,1988,NM,HYEGB,1036.26118,Billion Btu
34341,1989,NM,HYEGB,2423.22842,Billion Btu
34342,1990,NM,HYEGB,2136.93487,Billion Btu
34343,1991,NM,HYEGB,2474.45909,Billion Btu
34344,1992,NM,HYEGB,2637.68573,Billion Btu
34345,1993,NM,HYEGB,3029.06254,Billion Btu
34346,1994,NM,HYEGB,2196.17324,Billion Btu
34347,1995,NM,HYEGB,2721.54304,Billion Btu
34348,1996,NM,HYEGB,2186.89966,Billion Btu
34349,1997,NM,HYEGB,2643.22653,Billion Btu
34350,1998,NM,HYEGB,2410.69316,Billion Btu
34351,1999,NM,HYEGB,2481.95246,Billion Btu
34352,2000,NM,HYEGB,2255.97155,Billion Btu
34353,2001,NM,HYEGB,2452.22756,Billion Btu
34354,2002,NM,HYEGB,2691.68424,Billion Btu
34355,2003,NM,HYEGB,1748.12846,Billion Btu
34356,2004,NM,HYEGB,1392.52683,Billion Btu
34357,2005,NM,HYEGB,1649.76501,Billion Btu
34358,2006,NM,HYEGB,1966.05491,Billion Btu
34359,2007,NM,HYEGB,2648.69455,Billion Btu
34360,2008,NM,HYEGB,3077.28595,Billion Btu
34361,2009,NM,HYEGB,2644.59888,Billion Btu
34362,1960,TX,HYEGB,11858.66056,Billion Btu
34363,1961,TX,HYEGB,13142.739,Billion Btu
34364,1962,TX,HYEGB,8446.13605,Billion Btu
34365,1963,TX,HYEGB,5008.91804,Billion Btu
34366,1964,TX,HYEGB,4747.83345,Billion Btu
34367,1965,TX,HYEGB,7770.917,Billion Btu
34368,1966,TX,HYEGB,8195.3552,Billion Btu
34369,1967,TX,HYEGB,6043.41408,Billion Btu
34370,1968,TX,HYEGB,13790.12914,Billion Btu
34371,1969,TX,HYEGB,13278.80561,Billion Btu
34372,1970,TX,HYEGB,10549.85956,Billion Btu
34373,1971,TX,HYEGB,9219.70746,Billion Btu
34374,1972,TX,HYEGB,8614.71531,Billion Btu
34375,1973,TX,HYEGB,17662.50512,Billion Btu
34376,1974,TX,HYEGB,17035.43383,Billion Btu
34377,1975,TX,HYEGB,19997.35588,Billion Btu
34378,1976,TX,HYEGB,11025.86625,Billion Btu
34379,1977,TX,HYEGB,12144.47214,Billion Btu
34380,1978,TX,HYEGB,7923.41934,Billion Btu
34381,1979,TX,HYEGB,12447.87779,Billion Btu
34382,1980,TX,HYEGB,10171.1505,Billion Btu
34383,1981,TX,HYEGB,11972.11358,Billion Btu
34384,1982,TX,HYEGB,10737.83655,Billion Btu
34385,1983,TX,HYEGB,11648.20688,Billion Btu
34386,1984,TX,HYEGB,10766.6154,Billion Btu
34387,1985,TX,HYEGB,14635.59929,Billion Btu
34388,1986,TX,HYEGB,20603.02186,Billion Btu
34389,1987,TX,HYEGB,22481.84731,Billion Btu
34390,1988,TX,HYEGB,12750.63555,Billion Btu
34391,1989,TX,HYEGB,15033.98291,Billion Btu
34392,1990,TX,HYEGB,18657.28725,Billion Btu
34393,1991,TX,HYEGB,23215.72732,Billion Btu
34394,1992,TX,HYEGB,27283.89209,Billion Btu
34395,1993,TX,HYEGB,18416.04915,Billion Btu
34396,1994,TX,HYEGB,15787.97778,Billion Btu
34397,1995,TX,HYEGB,17564.92458,Billion Btu
34398,1996,TX,HYEGB,9924.76628,Billion Btu
34399,1997,TX,HYEGB,18288.92975,Billion Btu
34400,1998,TX,HYEGB,14528.89974,Billion Btu
34401,1999,TX,HYEGB,11455.22656,Billion Btu
34402,2000,TX,HYEGB,8456.25156,Billion Btu
34403,2001,TX,HYEGB,12403.03056,Billion Btu
34404,2002,TX,HYEGB,11429.28412,Billion Btu
34405,2003,TX,HYEGB,9181.4559,Billion Btu
34406,2004,TX,HYEGB,13034.7034,Billion Btu
34407,2005,TX,HYEGB,13324.26754,Billion Btu
34408,2006,TX,HYEGB,6566.09035,Billion Btu
34409,2007,TX,HYEGB,16253.61185,Billion Btu
34410,2008,TX,HYEGB,10242.91137,Billion Btu
34411,2009,TX,HYEGB,10039.69525,Billion Btu
62732,1960,AZ,NGTCB,140274.585,Billion Btu
62733,1961,AZ,NGTCB,159092.955,Billion Btu
62734,1962,AZ,NGTCB,163460.655,Billion Btu
62735,1963,AZ,NGTCB,169532.724,Billion Btu
62736,1964,AZ,NGTCB,174623.0,Billion Btu
62737,1965,AZ,NGTCB,166063.384,Billion Btu
62738,1966,AZ,NGTCB,174447.576,Billion Btu
62739,1967,AZ,NGTCB,169085.3661,Billion Btu
62740,1968,AZ,NGTCB,189964.9013,Billion Btu
62741,1969,AZ,NGTCB,210332.0103,Billion Btu
62742,1970,AZ,NGTCB,204382.7089,Billion Btu
62743,1971,AZ,NGTCB,225898.1239,Billion Btu
62744,1972,AZ,NGTCB,241355.3408,Billion Btu
62745,1973,AZ,NGTCB,226324.748,Billion Btu
62746,1974,AZ,NGTCB,204955.2307,Billion Btu
62747,1975,AZ,NGTCB,164345.6261,Billion Btu
62748,1976,AZ,NGTCB,180180.8666,Billion Btu
62749,1977,AZ,NGTCB,176448.9725,Billion Btu
62750,1978,AZ,NGTCB,186366.0558,Billion Btu
62751,1979,AZ,NGTCB,180579.7877,Billion Btu
62752,1980,AZ,NGTCB,173977.1714,Billion Btu
62753,1981,AZ,NGTCB,192207.5839,Billion Btu
62754,1982,AZ,NGTCB,142322.8669,Billion Btu
62755,1983,AZ,NGTCB,120418.0545,Billion Btu
62756,1984,AZ,NGTCB,126844.1484,Billion Btu
62757,1985,AZ,NGTCB,137315.0258,Billion Btu
62758,1986,AZ,NGTCB,105197.2061,Billion Btu
62759,1987,AZ,NGTCB,121405.8387,Billion Btu
62760,1988,AZ,NGTCB,128594.321,Billion Btu
62761,1989,AZ,NGTCB,151467.8402,Billion Btu
62762,1990,AZ,NGTCB,130781.2465,Billion Btu
62763,1991,AZ,NGTCB,128178.1975,Billion Btu
62764,1992,AZ,NGTCB,133771.0614,Billion Btu
62765,1993,AZ,NGTCB,118159.0624,Billion Btu
62766,1994,AZ,NGTCB,139733.0287,Billion Btu
62767,1995,AZ,NGTCB,127944.6977,Billion Btu
62768,1996,AZ,NGTCB,125264.8684,Billion Btu
62769,1997,AZ,NGTCB,137588.4515,Billion Btu
62770,1998,AZ,NGTCB,161086.4893,Billion Btu
62771,1999,AZ,NGTCB,167770.1576,Billion Btu
62772,2000,AZ,NGTCB,208137.0766,Billion Btu
62773,2001,AZ,NGTCB,244424.0247,Billion Btu
62774,2002,AZ,NGTCB,255247.2894,Billion Btu
62775,2003,AZ,NGTCB,275650.1151,Billion Btu
62776,2004,AZ,NGTCB,356264.7418,Billion Btu
62777,2005,AZ,NGTCB,329301.673,Billion Btu
62778,2006,AZ,NGTCB,365229.5651,Billion Btu
62779,2007,AZ,NGTCB,401991.6341,Billion Btu
62780,2008,AZ,NGTCB,409965.9579,Billion Btu
62781,2009,AZ,NGTCB,376674.7907,Billion Btu
62782,1960,CA,NGTCB,1301826.105,Billion Btu
62783,1961,CA,NGTCB,1400173.875,Billion Btu
62784,1962,CA,NGTCB,1483423.065,Billion Btu
62785,1963,CA,NGTCB,1623369.503,Billion Btu
62786,1964,CA,NGTCB,1817240.67,Billion Btu
62787,1965,CA,NGTCB,1813213.342,Billion Btu
62788,1966,CA,NGTCB,1982304.88,Billion Btu
62789,1967,CA,NGTCB,2048733.968,Billion Btu
62790,1968,CA,NGTCB,2187259.755,Billion Btu
62791,1969,CA,NGTCB,2189883.373,Billion Btu
62792,1970,CA,NGTCB,2241295.478,Billion Btu
62793,1971,CA,NGTCB,2265324.458,Billion Btu
62794,1972,CA,NGTCB,2303562.227,Billion Btu
62795,1973,CA,NGTCB,2154045.471,Billion Btu
62796,1974,CA,NGTCB,1937139.683,Billion Btu
62797,1975,CA,NGTCB,1937321.759,Billion Btu
62798,1976,CA,NGTCB,1849711.293,Billion Btu
62799,1977,CA,NGTCB,1864186.794,Billion Btu
62800,1978,CA,NGTCB,1646333.042,Billion Btu
62801,1979,CA,NGTCB,1900356.5,Billion Btu
62802,1980,CA,NGTCB,1890886.554,Billion Btu
62803,1981,CA,NGTCB,1947370.391,Billion Btu
62804,1982,CA,NGTCB,1765171.454,Billion Btu
62805,1983,CA,NGTCB,1601037.23,Billion Btu
62806,1984,CA,NGTCB,1739833.355,Billion Btu
62807,1985,CA,NGTCB,1925458.889,Billion Btu
62808,1986,CA,NGTCB,1591044.552,Billion Btu
62809,1987,CA,NGTCB,1992956.392,Billion Btu
62810,1988,CA,NGTCB,1860390.85,Billion Btu
62811,1989,CA,NGTCB,2047845.051,Billion Btu
62812,1990,CA,NGTCB,2101602.035,Billion Btu
62813,1991,CA,NGTCB,2208285.484,Billion Btu
62814,1992,CA,NGTCB,2294134.969,Billion Btu
62815,1993,CA,NGTCB,2213111.106,Billion Btu
62816,1994,CA,NGTCB,2334776.981,Billion Btu
62817,1995,CA,NGTCB,2109955.873,Billion Btu
62818,1996,CA,NGTCB,2017680.079,Billion Btu
62819,1997,CA,NGTCB,2185029.247,Billion Btu
62820,1998,CA,NGTCB,2418687.913,Billion Btu
62821,1999,CA,NGTCB,2379557.562,Billion Btu
62822,2000,CA,NGTCB,2456438.192,Billion Btu
62823,2001,CA,NGTCB,2513856.34,Billion Btu
62824,2002,CA,NGTCB,2318656.0,Billion Btu
62825,2003,CA,NGTCB,2317062.583,Billion Btu
62826,2004,CA,NGTCB,2462247.16,Billion Btu
62827,2005,CA,NGTCB,2304462.868,Billion Btu
62828,2006,CA,NGTCB,2375928.944,Billion Btu
62829,2007,CA,NGTCB,2441192.083,Billion Btu
62830,2008,CA,NGTCB,2475017.122,Billion Btu
62831,2009,CA,NGTCB,2391376.808,Billion Btu
62832,1960,NM,NGTCB,207301.185,Billion Btu
62833,1961,NM,NGTCB,218948.04,Billion Btu
62834,1962,NM,NGTCB,247089.69,Billion Btu
62835,1963,NM,NGTCB,239910.808,Billion Btu
62836,1964,NM,NGTCB,226697.344,Billion Btu
62837,1965,NM,NGTCB,224252.552,Billion Btu
62838,1966,NM,NGTCB,247389.808,Billion Btu
62839,1967,NM,NGTCB,280382.0128,Billion Btu
62840,1968,NM,NGTCB,286329.4875,Billion Btu
62841,1969,NM,NGTCB,276591.1838,Billion Btu
62842,1970,NM,NGTCB,292521.9324,Billion Btu
62843,1971,NM,NGTCB,291725.7888,Billion Btu
62844,1972,NM,NGTCB,311896.837,Billion Btu
62845,1973,NM,NGTCB,274017.8054,Billion Btu
62846,1974,NM,NGTCB,273397.0586,Billion Btu
62847,1975,NM,NGTCB,255637.1358,Billion Btu
62848,1976,NM,NGTCB,294878.1468,Billion Btu
62849,1977,NM,NGTCB,242911.8601,Billion Btu
62850,1978,NM,NGTCB,225451.141,Billion Btu
62851,1979,NM,NGTCB,223092.3289,Billion Btu
62852,1980,NM,NGTCB,231330.1814,Billion Btu
62853,1981,NM,NGTCB,205433.7148,Billion Btu
62854,1982,NM,NGTCB,213350.4604,Billion Btu
62855,1983,NM,NGTCB,184594.9762,Billion Btu
62856,1984,NM,NGTCB,169780.7518,Billion Btu
62857,1985,NM,NGTCB,162311.5483,Billion Btu
62858,1986,NM,NGTCB,144531.8728,Billion Btu
62859,1987,NM,NGTCB,164587.5777,Billion Btu
62860,1988,NM,NGTCB,185245.5484,Billion Btu
62861,1989,NM,NGTCB,205131.2704,Billion Btu
62862,1990,NM,NGTCB,251469.9307,Billion Btu
62863,1991,NM,NGTCB,227349.4645,Billion Btu
62864,1992,NM,NGTCB,211096.229,Billion Btu
62865,1993,NM,NGTCB,224999.0888,Billion Btu
62866,1994,NM,NGTCB,221478.9856,Billion Btu
62867,1995,NM,NGTCB,219475.7233,Billion Btu
62868,1996,NM,NGTCB,233557.0239,Billion Btu
62869,1997,NM,NGTCB,261880.9573,Billion Btu
62870,1998,NM,NGTCB,241405.5558,Billion Btu
62871,1999,NM,NGTCB,231312.1897,Billion Btu
62872,2000,NM,NGTCB,259018.0439,Billion Btu
62873,2001,NM,NGTCB,259625.573,Billion Btu
62874,2002,NM,NGTCB,229690.7958,Billion Btu
62875,2003,NM,NGTCB,225220.2961,Billion Btu
62876,2004,NM,NGTCB,229164.8137,Billion Btu
62877,2005,NM,NGTCB,225351.9866,Billion Btu
62878,2006,NM,NGTCB,227660.6042,Billion Btu
62879,2007,NM,NGTCB,240560.6914,Billion Btu
62880,2008,NM,NGTCB,250857.9562,Billion Btu
62881,2009,NM,NGTCB,247119.5569,Billion Btu
62882,1960,TX,NGTCB,2815482.555,Billion Btu
62883,1961,TX,NGTCB,2831992.875,Billion Btu
62884,1962,TX,NGTCB,2959562.835,Billion Btu
62885,1963,TX,NGTCB,3044427.711,Billion Btu
62886,1964,TX,NGTCB,3040491.913,Billion Btu
62887,1965,TX,NGTCB,3181455.854,Billion Btu
62888,1966,TX,NGTCB,3404262.302,Billion Btu
62889,1967,TX,NGTCB,3638596.329,Billion Btu
62890,1968,TX,NGTCB,3836858.984,Billion Btu
62891,1969,TX,NGTCB,4024716.694,Billion Btu
62892,1970,TX,NGTCB,4203877.355,Billion Btu
62893,1971,TX,NGTCB,4482575.729,Billion Btu
62894,1972,TX,NGTCB,4531776.683,Billion Btu
62895,1973,TX,NGTCB,4746154.938,Billion Btu
62896,1974,TX,NGTCB,4584002.31,Billion Btu
62897,1975,TX,NGTCB,4046930.491,Billion Btu
62898,1976,TX,NGTCB,4074689.901,Billion Btu
62899,1977,TX,NGTCB,4254884.869,Billion Btu
62900,1978,TX,NGTCB,4329772.852,Billion Btu
62901,1979,TX,NGTCB,4131399.272,Billion Btu
62902,1980,TX,NGTCB,4226104.775,Billion Btu
62903,1981,TX,NGTCB,4052341.117,Billion Btu
62904,1982,TX,NGTCB,3503024.635,Billion Btu
62905,1983,TX,NGTCB,3335519.164,Billion Btu
62906,1984,TX,NGTCB,3556198.05,Billion Btu
62907,1985,TX,NGTCB,3514372.642,Billion Btu
62908,1986,TX,NGTCB,3312929.249,Billion Btu
62909,1987,TX,NGTCB,3435412.606,Billion Btu
62910,1988,TX,NGTCB,3665186.602,Billion Btu
62911,1989,TX,NGTCB,3886116.389,Billion Btu
62912,1990,TX,NGTCB,3877832.712,Billion Btu
62913,1991,TX,NGTCB,3824190.266,Billion Btu
62914,1992,TX,NGTCB,3768324.322,Billion Btu
62915,1993,TX,NGTCB,3925166.117,Billion Btu
62916,1994,TX,NGTCB,3885072.551,Billion Btu
62917,1995,TX,NGTCB,4037538.724,Billion Btu
62918,1996,TX,NGTCB,4268665.349,Billion Btu
62919,1997,TX,NGTCB,4231566.37,Billion Btu
62920,1998,TX,NGTCB,4377956.656,Billion Btu
62921,1999,TX,NGTCB,4138086.285,Billion Btu
62922,2000,TX,NGTCB,4550105.655,Billion Btu
62923,2001,TX,NGTCB,4389907.652,Billion Btu
62924,2002,TX,NGTCB,4449191.418,Billion Btu
62925,2003,TX,NGTCB,4180255.726,Billion Btu
62926,2004,TX,NGTCB,4043094.264,Billion Btu
62927,2005,TX,NGTCB,3625116.415,Billion Btu
62928,2006,TX,NGTCB,3549526.72,Billion Btu
62929,2007,TX,NGTCB,3642271.119,Billion Btu
62930,2008,TX,NGTCB,3657242.406,Billion Btu
62931,2009,TX,NGTCB,3462210.402,Billion Btu
66892,1960,AZ,NUETB,0.0,Billion Btu
66893,1961,AZ,NUETB,0.0,Billion Btu
66894,1962,AZ,NUETB,0.0,Billion Btu
66895,1963,AZ,NUETB,0.0,Billion Btu
66896,1964,AZ,NUETB,0.0,Billion Btu
66897,1965,AZ,NUETB,0.0,Billion Btu
66898,1966,AZ,NUETB,0.0,Billion Btu
